"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","12_S3_Diff_S12","2_S1_S2","4_S2_S4","6_S3_S6","8_S1_Diff_S8"
"Syf2",15520.8687882314,0.483713820542742,0.141648499962095,0.000248408482694841,0.00190661693763841,13454,22506,12233,12955,9719,21528
"Gm16225",19.5867911861832,1.05240925961393,0.674696069062029,0.00227785329368722,0.0114977042205287,38,46,12,7,4,33
"Runx3",552.270249016988,-1.72731992363595,0.389062868402408,1.09230085089908e-07,2.91035025953022e-06,208,340,954,1060,877,254
"Clic4",45519.4274497519,0.94897429391558,0.136235947143101,9.46126864538946e-14,9.01787919205326e-12,47850,85903,30116,31973,24846,65155
"Ncmap",119.980290796633,0.647196402433105,0.393757635272863,0.0128182082368429,0.0453569032261826,180,234,102,74,78,196
"Nipal3",4369.99175632723,1.22704248856461,0.18121604694718,1.72164647707102e-13,1.60449799900899e-11,5138,8768,2725,2761,2126,7428
"Stpg1",40.6881248970818,1.86744407220181,0.39997873626124,3.81935540855242e-08,1.16916881112315e-06,43,115,13,15,15,76
"Srsf10",29488.2471875674,-1.32204484759648,0.327888427969533,6.97045663410959e-07,1.43720260728263e-05,13578,19167,42117,42503,37528,14366
"Hmgcl",5853.46052640417,0.472970154135031,0.211319930886449,0.00920401055085502,0.0348717379200595,5700,9577,5032,5216,4140,9433
"Id3",14245.164155256,-0.41507814150398,0.17157692029851,0.00747660628299123,0.0295973111474501,9225,15130,16258,17926,13480,14138
"Zfp46",6628.0624152853,-0.260328135099683,0.0866060327211429,0.00206737173431427,0.0105991975297888,4802,7892,6936,7244,6166,6481
"Hnrnpr",46722.7538534737,-0.652417213106019,0.12944649613133,8.05361947957984e-08,2.25469087940333e-06,29048,50891,56381,59119,50334,36720
"Luzp1",17486.1284221231,-0.761158025833132,0.177972772363774,1.67243712032871e-06,3.04421301876499e-05,10679,16946,21046,22499,18836,11525
"Zbtb40",3712.23955510551,-0.795331381154774,0.13377990199645,1.98322431027124e-10,1.02429139315462e-08,2040,3609,4144,4333,3897,2244
"Gm52681",965.187077049585,0.462188243523069,0.178844634914073,0.00391625079193632,0.0177864117080599,930,1484,956,925,635,1729
