"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Cndp2",9365.89023690103,-0.0968142316586434,0.121749797584584,0.236060048389908,0.598052796640141
"Dipk1c",0,NA,NA,NA,NA
"Gm38576",0,NA,NA,NA,NA
"Gm17266",0,NA,NA,NA,NA
"Cyb5a",1141.10930323932,0.0176026984567224,0.129493412491,0.79405365969571,0.941650334852849
"Gm16146",0,NA,NA,NA,NA
"Fbxo15",12.3983920192165,0.0111853707032541,0.149145380454307,0.623989153547031,0.872857732732695
"Timm21",4415.22209671325,0.150499788378235,0.140654701107137,0.098276757955051,0.388299954496628
"Gm32291",0,NA,NA,NA,NA
"Gm25453",0,NA,NA,NA,NA
"LOC118568387",0,NA,NA,NA,NA
"Neto1",0.340155619243818,-0.00366033290492041,0.150299353368239,0.629893940861237,NA
"Cbln2",0,NA,NA,NA,NA
"Gm24987",0,NA,NA,NA,NA
"Gm32437",0,NA,NA,NA,NA
"Gm32489",0,NA,NA,NA,NA
"LOC118568388",0,NA,NA,NA,NA
"LOC118568389",30.9495820187362,-0.00481879321950669,0.145486442354302,0.904473728922974,0.975712888715472
"Socs6",5623.1489552968,0.16182166689919,0.168728578155251,0.0891460128892843,0.368796353684493
"Rttn",4670.12742848314,0.316537470875827,0.153422122802279,0.004848238854027,0.0584191754852026
"Mir6359",74.8619535546784,0.0791825982049069,0.162412175607229,0.200146048231057,0.555507399171915
"Cd226",0,NA,NA,NA,NA
"Dok6",0,NA,NA,NA,NA
"Gm41800",0,NA,NA,NA,NA
"Gm23859",0,NA,NA,NA,NA
"Gm18280",8.19871831063159,-0.0206607830801969,0.150102807102702,0.417738453240699,0.751910026493149
"Gm25418",0,NA,NA,NA,NA
"Tmx3",14618.7780284369,-0.038560346633716,0.105192003073018,0.602786578995258,0.861478056165475
"Gm45871",1624.44305626033,0.308099443602272,0.168058094774779,0.00816413119334709,0.0847709682051331
"Gm38527",0,NA,NA,NA,NA
"Gm25431",0,NA,NA,NA,NA
"1700030N03Rik",0,NA,NA,NA,NA
"LOC115489054",0,NA,NA,NA,NA
"Ighmbp2",3068.8286944897,0.0469089088529268,0.0803359597694268,0.492882615899886,0.803618770326916
"Mrpl21",6089.23996666331,-0.0519872800427798,0.0844373128803091,0.452833235652219,0.776468062684215
"Mir6984",3.03769753909564,-0.00629793226369643,0.149936145952192,0.617712487227131,NA
"Cpt1a",10455.1544718689,-0.0663491591001253,0.119620709457622,0.394939673753685,0.736364247245491
"Tesmin",49.0887945443245,-0.0717822860754862,0.161104324029269,0.201897931795412,0.556500915507187
"Gal",0.381009474536791,-0.00372964133139322,0.150303504758962,0.603878268750411,NA
"Ppp6r3",18091.4025787166,0.00936919095565887,0.0825894658486539,0.87946679003054,0.969209480540129
"Gm23940",0,NA,NA,NA,NA
"Lrp5",5781.93251343498,0.0374909217068008,0.0903737229806507,0.609560603919041,0.865056525468295
"Gm36672",2.09649290940843,-0.000236943804872415,0.14981632770999,0.982068425175217,NA
"Gm36608",36.178110933784,-0.0700800593218952,0.16732919416602,0.108723273403768,0.411932636110748
"1810055G02Rik",3681.88599636923,-0.0835218121108985,0.104857468279444,0.280386734992195,0.642923408566804
"Gm36787",2.3220714878269,0.00622890013098497,0.149837129259589,0.649816077634224,NA
"Kmt5b",4576.97913723267,0.116315391584407,0.100153235266957,0.137953390715774,0.461220137981842
"Gm51271",0.134415077239708,0.00264033826782034,0.150254717465359,0.833186714575572,NA
"Chka",4855.10530171172,0.126489824151684,0.102866970792978,0.113059942728474,0.419536028393475
"Tcirg1",2816.89662363121,0.194263656283611,0.146067280720638,0.0456682554139377,0.255510998645069
"Ndufs8",5996.27603619512,0.006511277510972,0.0955167100233068,0.930746497640246,0.980933067040996
"Aldh3b1",2947.50032309581,0.0232141251862734,0.131652990275233,0.727331882659209,0.919448365221796
"Gm42059",6.41539782931826,0.0109923445822146,0.149884205377989,0.525182863678719,NA
"Unc93b1",2504.23908605723,0.0520163068342139,0.105564433286804,0.508094774209219,0.813309987409725
"Aldh3b3",6.98487819616822,0.000903297876810014,0.147977097149749,0.974080152590103,0.994615774403962
"Aldh3b2",5.42255084082862,-0.00826899415431158,0.14912630600265,0.69031471630921,NA
"Gm52386",0,NA,NA,NA,NA
"Acy3",643.349666819413,0.0886603338608988,0.130185223373916,0.275606565248111,0.638855361256884
"Tbx10",0,NA,NA,NA,NA
"Nudt8",1222.01243030514,-0.0133477764123263,0.109624795876637,0.8611890104615,0.963243901032511
"Doc2g",294.268486294566,0.0663160392308264,0.143935795448809,0.345070472399747,0.698424864682012
"Ndufv1",19756.6770957937,-0.0197543439449252,0.0901142347141866,0.818100227276729,0.949285561540878
"Gstp1",29286.7503316372,-0.164750021221491,0.0883449773893659,0.0248594157372008,0.174662542361662
"Gstp2",13831.2992520165,-0.233947144588416,0.0924556139393548,0.0028616697550697,0.0397034880027209
"Gstp3",0.134415077239708,0.00264033826782034,0.150254717465359,0.833186714575572,NA
"Gm42060",0.340155619243818,-0.00366033290492041,0.150299353368239,0.629893940861237,NA
"Cabp2",0,NA,NA,NA,NA
"Cdk2ap2",2261.74919511581,0.00714014797367529,0.0854895207705533,0.919308698453491,0.978114132929235
"Pitpnm1",5588.69426541427,-0.253516618128459,0.0998428157240636,0.00241236288824683,0.0349074653650479
"Aip",6787.164199949,-0.00359465456167971,0.0804838591052914,0.951907790432981,0.988081912272663
"Tmem134",4320.04186215414,-0.0316564157278354,0.10931038935422,0.673281631924573,0.894620599004453
"Cabp4",0.96547597745557,0.00630267030157961,0.150421086209258,0.303965241790807,NA
"Gpr152",47.1681488665928,-0.106299040212937,0.20738560156825,0.00642885373792444,0.0715674570664879
"Coro1b",8055.60842294205,-0.0646503330844733,0.107184467763386,0.406762796870694,0.743627731145967
"Ptprcap",4.30899440795547,-0.00928058431806061,0.149830012871153,0.564254955224664,NA
"Rps6kb2",2112.6258359111,0.0174609398976545,0.0923047352978796,0.811597181326386,0.947245060679863
"Carns1",227.410856027409,0.0395663310655178,0.133538360120432,0.564464337400725,0.84443859081769
"Tbc1d10c",108.24984114708,0.049743586848446,0.147002977993451,0.39347518305946,0.735256283308347
"Ppp1ca",41466.7586674305,-0.0376585039883492,0.0917818536070325,0.57253360377671,0.847770292323201
"Rad9a",2634.04685790247,0.0116820829324196,0.0829776823381114,0.866668876970119,0.965109083614675
