"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Gm13266",0.162188370265155,0.0030164267285396,0.156425427259905,0.829882553921128,NA,0,0,0,0,0,1
"Gm32741",0,NA,NA,NA,NA,0,0,0,0,0,0
"Cacnb2",2.12327358702081,-0.0102201506664298,0.156680579922627,0.286010702133674,NA,4,0,7,0,0,2
"Gm13315",52.8110684610222,-0.0174616949615612,0.153263882340448,0.630129402967569,0.888476673645374,23,19,66,110,91,29
"Gm13269",0,NA,NA,NA,NA,0,0,0,0,0,0
"Nsun6",2046.10436189776,0.0460555448530797,0.135674519908418,0.54277849885967,0.85830137453323,1537,2276,2449,1867,1841,2465
"Arl5b",3957.19840515746,0.0936547533764594,0.171516789473965,0.190692479441114,0.663149592302205,3046,5199,4456,3017,2598,5532
"Malrd1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Plxdc2",0.437730726978703,-0.00412998642575938,0.156480519528188,0.572330457166888,NA,2,0,0,0,0,0
"4930515L03Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118568500",4.18019377573174,0.00884839618412217,0.155602383096795,0.650017249979501,NA,2,4,8,7,1,5
"Nebl",718.776181443001,0.22434842380652,0.424997481935849,0.0160298218809422,0.229513302341659,454,1280,676,492,321,1080
"Mir6419",0,NA,NA,NA,NA,0,0,0,0,0,0
"H2al2a",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm33085",198.975777779648,-0.0720521437931441,0.155547721408387,0.300939790724203,0.751171091110157,143,149,256,264,264,154
"A930004D18Rik",1449.60395370008,0.117431504364149,0.147374010726293,0.183947635524109,0.656397486827506,984,1627,1736,1783,1279,1499
"Gm17762",326.058772250382,-0.0333655097222668,0.140368639287395,0.619459217801058,0.885099339994556,238,240,374,474,409,278
"Skida1",2722.88482472532,0.0408518029306431,0.130951156114424,0.592586075222099,0.874414818308852,2172,2959,3353,2698,2287,3097
"Mllt10",10690.6588246243,-0.0498722113852387,0.120770809894509,0.532190784339005,0.853748392311609,8574,10279,14565,11832,10268,10025
"Mir7655",15.5192374884791,-0.0275980369391918,0.156040414151833,0.416315024991677,0.807897454022625,17,6,19,17,18,17
"Gm25147",0.482704047070236,-0.00424228460562698,0.156487971888333,0.540220835623484,NA,1,0,2,0,0,0
"Gm13351",14.6275452502761,0.0228462354861923,0.157531645162212,0.279057718770017,0.736500288738287,1,12,11,2,16,48
"Dnajc1",7849.28803628666,0.0879355392332419,0.14464795138468,0.286142785163495,0.742467460020701,5973,8861,9677,8325,6072,9011
"n-TNgtt9",2.14687492711755,-0.0035909334675849,0.155885387361203,0.793263874115979,NA,3,0,2,4,2,2
"LOC102636124",3.37572298892842,-0.00177597492683882,0.155837992241249,0.894783506670758,NA,6,0,4,4,0,6
"Commd3",14793.9192906188,-0.0422670643593139,0.117667606966909,0.593364604339,0.874628998156068,11593,13527,18798,15824,15333,15417
"Bmi1",22218.1287797872,0.00703771596259514,0.135269513154177,0.875791412102147,0.967588729959595,18201,25610,27900,17148,19293,26105
"Gm46725",76.2830818770081,0.00654777141916734,0.143457880062647,0.911231288038144,0.979034731019873,58,52,95,95,73,98
"Spag6",166.490668124757,-0.0281053141631995,0.141109395183486,0.663515258094964,0.901897077761733,125,166,228,135,173,189
"Gm3363",6.05380806206913,-0.0124215682189028,0.156533650027151,0.386512572091707,0.793779038447922,6,3,0,0,18,7
"Carlr",17.4969540561511,-0.00985642815535823,0.153769068618939,0.744097778789725,0.929234115598406,16,22,30,24,12,4
"Pip4k2a",2839.94486600225,-0.000614429403408739,0.118273473693866,0.987186140720645,0.99649726685712,2115,2600,3625,3047,2822,3211
"Gm33534",8.75521974215555,-0.00647430165934238,0.153982025970117,0.816049702790074,0.949250974117781,7,5,11,11,10,10
"4930426L09Rik",85.9778577505409,-0.00206191008898489,0.147283722915612,0.964554141247672,0.991325717503337,74,120,75,63,101,75
"Gm33592",0,NA,NA,NA,NA,0,0,0,0,0,0
"Armc3",23.9383420555723,0.00156789867951748,0.151593984891616,0.969007705875141,0.992084980135936,14,37,34,18,25,18
"4930447M23Rik",210.137648115706,0.0417985651489472,0.148270434053214,0.497587325213572,0.836955828221971,155,225,254,159,172,311
"Msrb2",2446.68692134633,-0.157379629518549,0.170161417906972,0.0986654359298993,0.545106635218734,1893,1994,3362,2879,2956,1980
"Gm33940",59.1495131607235,0.0263440529056208,0.147804378242261,0.632504297860977,0.889769345773153,42,53,83,65,44,79
"Gm13344",1.23696890517181,0.00408008379287779,0.156364345234467,0.581370165701234,NA,0,0,2,0,0,6
"Ptf1aos",0,NA,NA,NA,NA,0,0,0,0,0,0
"Ptf1a",1.35032289162021,-0.00032917175578248,0.15616981553842,0.970112414406742,NA,2,0,2,0,0,4
"1810010K12Rik",94.1142537889099,0.0202345182196427,0.152846009359109,0.613732007439883,0.882699432383754,82,200,107,54,60,50
"4921504E06Rik",0.544700293200692,7.42387368795593e-05,0.156316537417371,0.998622716833875,NA,0,0,2,2,0,0
"Gm39764",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm13348",0.361490366392528,0.00387197509004775,0.156463184373317,0.632484198498403,NA,0,2,0,0,0,0
"Gm3230",16.7576630690044,0.014098673429017,0.153175438579812,0.688754053548367,0.911008858543034,8,12,26,20,14,26
"Otud1",184.167545553239,0.111796480513071,0.178924040213448,0.150583210498187,0.61805456523728,154,212,184,226,124,216
"Gm24670",0,NA,NA,NA,NA,0,0,0,0,0,0
"Etl4",2273.31857292073,0.0246072787047827,0.142796263145601,0.694750743815998,0.912514447410699,1611,2986,3120,1514,1896,2677
"Gm13363",14912.8310137207,-0.0184839175027326,0.120538265963685,0.807369456706869,0.946710288804038,11277,12806,20248,15852,14306,17254
"Gm23970",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm17171",0,NA,NA,NA,NA,0,0,0,0,0,0
"Arhgap21",17624.857687798,0.0935840128696529,0.136220620573188,0.32504150409649,0.764327541157238,13161,16916,21558,20165,14914,21415
"Gm13375",1408.68704998282,0.0320146685376512,0.130100560518391,0.671462245201005,0.904220459958822,964,1054,1781,1966,1385,1606
"Enkur",38.0865990431915,0.0314782050826102,0.157940263902372,0.309577617383666,0.755862562285262,9,100,38,20,41,20
"Thnsl1",3785.46236581913,0.18584258769088,0.23552580070206,0.0614251177919872,0.453596530530171,2487,5427,3978,3512,2935,4580
"LOC118568502",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gpr158",914.751191731032,-0.210175436608054,0.198240488249713,0.0481124462052834,0.400870188450868,822,740,1454,898,873,830
"Gm39766",5.82973410385841,0.013323480611422,0.156164229711764,0.47509376330528,0.830772552110034,7,8,4,5,0,10
"Gm39767",8.38804946119951,0.0224099929192202,0.157273519845022,0.312617218233778,0.758931134086445,1,21,13,6,4,7
"Myo3a",7.78226038077008,-0.0311631014893003,0.160872771951754,0.00860150274969055,0.163556813235728,18,0,27,2,0,0
"Gad2",298.699869837914,0.434792777417776,0.265005161942985,0.00616153875938605,0.135646460364704,188,320,278,479,234,345
"Mir3967",0,NA,NA,NA,NA,0,0,0,0,0,0
"Apbb1ip",102.080898063312,1.7481932256332,0.749111949823916,0.000549264292460604,0.0279279841636115,18,337,48,110,46,47
"Gm52503",2.95024035236558,0.00786270857584921,0.15606552338835,0.591250466010268,NA,1,2,6,2,0,8
"Pdss1",7402.50082552465,-0.0837478362157212,0.126077102226017,0.287033642564465,0.742822661050934,5809,6562,9995,8490,7862,6760
"Abi1",10715.7062379949,0.0431481455797033,0.128865755975253,0.580193066681102,0.870951749176407,8333,11688,13303,10806,9217,11952
"Gm52502",9.8573477914888,0.0164762618560026,0.155506978189098,0.525948585766601,0.850572084365095,9,15,10,18,4,4
"Acbd5",3710.74725096781,0.0651243780846719,0.160677556903799,0.270766834236773,0.730076239265885,2785,5093,3913,2085,2749,5573
"Mastl",4239.84648203342,0.0488546143713567,0.148516952568708,0.449122969789,0.82230712210546,3395,4895,4757,2946,3374,6145
"Yme1l1",25921.093029286,0.0613648261791474,0.149565938374491,0.434645518535028,0.817171640659417,19255,31294,31234,19605,21293,34242
"Potegl",48.5792362488033,0.0182355768723121,0.153847249939003,0.602930181336087,0.87862184771089,49,17,54,41,21,113
"Nxph2",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm34769",0,NA,NA,NA,NA,0,0,0,0,0,0
"Spopl",3881.53201098912,0.021069633153298,0.142660784665648,0.720601468702446,0.921136536741726,3159,4936,4676,2452,3255,4827
"Hnmt",0.607900823628044,-0.00438291501089902,0.156497793802804,0.487886504294902,NA,2,0,0,0,1,0
"Tbpl2",0,NA,NA,NA,NA,0,0,0,0,0,0
"Il1f8",0,NA,NA,NA,NA,0,0,0,0,0,0
"Il1f9",31.1423157887029,0.023964039932243,0.152889343958907,0.568844319287074,0.867956263310609,14,19,38,42,34,49
"Il1f6",0,NA,NA,NA,NA,0,0,0,0,0,0
"Il1f5",0,NA,NA,NA,NA,0,0,0,0,0,0
"Il1f10",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA,0,0,0,0,0,2
"Il1rn",26.264872962436,-0.0889627913678468,0.188836119201422,0.0403838989139389,0.368329320313409,34,24,41,12,32,12
"Psd4",352.479176636149,-0.0532696737061095,0.133802874224999,0.48857350063423,0.834583033552296,276,308,499,368,347,369
"Pax8",1.23056740012353,0.00732373123544002,0.156393212249023,0.472763320949926,NA,0,2,2,2,0,2
"Gm13415",1.94982004792313,0.0159591827345103,0.157322359641016,0.119497651956561,NA,1,3,0,5,0,3
"Gm39769",24.9802471031171,-0.000476929733286796,0.153498631869114,0.984006478407177,0.995766554670967,14,50,29,6,33,16
"Cacna1b",5025.17945720916,-0.0512832438944117,0.127460579524438,0.517437520072197,0.846707954339666,4189,4478,7204,6152,4433,4503
"Ehmt1",16547.9315282186,-0.0624114179264455,0.120320441785677,0.453343149582861,0.822718953182655,13478,14676,22328,18146,16060,16763
"Arrdc1",3178.74438314253,-0.142608820825878,0.169620754451423,0.122744376693654,0.587876412601085,2639,2324,4116,4015,3795,2642
"Zmynd19",21564.9101080768,-0.152570962721865,0.17777271391163,0.125896752418485,0.590917765787571,17767,16223,29280,28111,24970,16553
"Dph7",5326.41288110993,-0.0396507046696893,0.125364171763495,0.598554457099457,0.876242781047544,3991,4340,6807,7090,5795,4863
"Mrpl41",6559.74796076504,-0.0700957212354425,0.132844684558452,0.381514142279213,0.793092340039805,5354,5818,8509,8337,6930,5326
"Pnpla7",32731.0066624036,0.122999024843651,0.150976198744661,0.164620549486043,0.6329584534802,23912,32358,37104,36877,27838,42163
"Gm25518",0,NA,NA,NA,NA,0,0,0,0,0,0
"Nsmf",8135.93219942331,-0.048035055567294,0.126812985200376,0.543698236394304,0.85830137453323,6230,6540,10591,10878,8656,7353
"Mir7664",5.43532099161672,-0.00434212763404499,0.155061904450684,0.83467822328583,NA,4,6,4,2,9,7
"Gm39770",6.87970349764408,-0.0477380029353165,0.166130763239942,0.0278440223126229,0.308750862632851,12,1,14,5,8,1
"Entpd8",0.848055477187993,0.00585931783945132,0.156556128007278,0.362344455715123,NA,0,2,0,0,0,3
"Noxa1",12.609754229265,-0.00505162829373431,0.156557015006457,0.0672661054831083,0.471092952691243,0,0,4,0,71,0
"Gm13387",43.2781508509218,-0.034326051004429,0.154975954761805,0.430272321386116,0.815232533430952,40,57,74,27,36,28
"Nrarp",892.361139592754,-0.0209968145595643,0.122774020444967,0.783146755161518,0.939416970166409,758,822,1166,1016,792,904
"Gm52547",34.4600009709735,0.0407183902430116,0.156667428757525,0.369142182515963,0.78621064622584,25,23,38,67,24,39
"Tor4a",3012.08079840678,-0.230328314149732,0.238471100519899,0.0401408665324931,0.368152808018702,2477,2082,3949,3696,4054,2243
"Nelfb",13733.325338587,-0.0604950853811522,0.134898101729316,0.452601079818612,0.822653426375912,10296,10948,17914,18840,15448,11489
"Gm22572",0,NA,NA,NA,NA,0,0,0,0,0,0
"Stpg3",121.627328012437,-0.0636883386755454,0.15934297774472,0.290719203764328,0.745864866648878,90,84,158,178,167,77
"Fam166a",32.1910320594661,0.182259425266108,0.338461194955509,0.0107320481117978,0.185592245071192,18,40,24,57,15,45
"Tubb4b",112335.827457257,-0.0549558544867624,0.146620849929602,0.425222469827714,0.812071388442225,86777,83423,142841,176176,133435,73830
"Slc34a3",3.49220971862468,0.0225103626442033,0.158155009203558,0.149601715100182,NA,0,3,2,4,2,11
"Rnf224",0.444583866777148,-0.000934762014972422,0.156330915583232,0.858154424602857,NA,0,1,2,0,0,0
"Cysrt1",3.57169672001973,0.00111598478535276,0.155545457739268,0.949023762019885,NA,0,2,4,6,7,4
"Rnf208",1219.84337067821,0.067699165653218,0.137831977178432,0.391225500571288,0.795328729809756,952,1010,1435,1800,1020,1315
"Ndor1",9397.68286410021,-0.0206454419482792,0.119640583522822,0.78359860274556,0.939690182487723,7484,9195,11886,9522,9252,9977
"Tmem203",1656.81178873299,0.12163047261296,0.171235994405323,0.158111717721921,0.627651674366417,1094,1415,1694,2836,1580,1671
"Tprn",3747.01320822578,-0.0840254968693871,0.149085186699692,0.288423566847594,0.743558401608415,3083,2975,5033,5216,4087,2729
"Ssna1",11749.302914249,-0.0499440893266203,0.142211080955992,0.470925895915312,0.829152055342576,8638,8902,15045,17862,14026,8446
"Anapc2",24260.1462249834,-0.044030703936403,0.136633838224648,0.546357686136389,0.858715655746067,18062,17917,31119,36123,27511,19786
"Tmem210",1.3243136427812,-0.00546147177052387,0.15634785628775,0.534124504695276,NA,0,0,5,0,2,2
"Lrrc26",0.808538976781577,-0.00170104056785323,0.156311376379473,0.800958930589702,NA,0,0,4,2,0,0
"Grin1",7059.80008778423,0.0288047168630896,0.147168822482457,0.594912011133681,0.875163656078906,5218,3521,8804,15038,5802,6294
"Grin1os",5.09220646577301,0.0263207280420473,0.15926851928936,0.0616459943894314,NA,0,2,4,23,0,6
"AA543186",366.80428184424,-0.0218250179581362,0.135826393205797,0.749225524203142,0.929951007807035,220,324,451,422,476,372
"Man1b1",41120.0250545546,-0.0460773486108351,0.135852488275125,0.533362588191138,0.854278202886807,30876,33584,53387,59574,45816,31364
"Dpp7",2197.75003063304,-0.0897978530878528,0.155540101747066,0.250978105716085,0.714583629769089,1824,2381,2769,2202,2600,1549
"Gm46732",112.618424713968,0.102773074217685,0.179867857883603,0.147639817318555,0.613940943321483,65,148,111,118,107,137
"Uap1l1",4474.38808328511,-0.00262720896959922,0.144587535517078,0.977338925071156,0.99429798495272,2937,2076,5464,8972,5183,3660
"Sapcd2",14299.3461438752,-0.10218283614262,0.161823181081268,0.204788902498479,0.673269090827662,12306,10101,18981,20429,16011,10376
"Entpd2",380.048445940706,0.367333923160058,0.274799115119974,0.012245876662393,0.197865472805425,211,358,396,537,315,542
"Npdc1",32509.2659375183,-0.0163609245594622,0.134344050244494,0.902094995958031,0.976782974861444,24694,23905,39329,52776,34316,26788
"Fut7",73.7611886648851,-0.0123250232092709,0.146796566176547,0.811827380118288,0.947658687660714,46,41,121,111,71,78
"Abca2",17637.1479274325,0.0886894366551716,0.145283766887633,0.280595465062044,0.737496636982861,13263,14700,21133,27338,14256,18648
"Mir3087",0,NA,NA,NA,NA,0,0,0,0,0,0
"Paxx",1813.43102217887,0.124928838263054,0.171829928034844,0.151954756065378,0.61932708132268,1184,1374,2018,2915,1620,2187
"Clic3",20.3127233407636,0.0456537180703182,0.1616036275585,0.215105089588307,0.685971494854575,12,12,17,29,15,41
"Ptgds",97.0719339648832,0.0562980367273535,0.168210504060855,0.0725457242229806,0.48593250535833,70,38,72,379,20,54
"Gm35287",0.88617565748108,0.00395171712660522,0.15634548869514,0.546779012988282,NA,1,1,0,0,0,3
"Lcn12",5.18532900474453,0.00738197002091618,0.155381526117982,0.715425865785774,NA,4,1,5,6,4,12
"C8g",62.1262390273294,-0.00421861568771348,0.145008954622569,0.935996062058558,0.984591031871559,46,56,60,68,79,68
"Fbxw5",13305.9705185116,0.01428868949374,0.118826421561673,0.831300386068588,0.953943138039009,10210,11748,15382,17826,13518,13041
"Traf2",7924.66202974774,-0.0395793915680363,0.131020022231716,0.599477507144605,0.876856045094599,5835,6975,9557,10652,9293,6467
"Gm35476",50.9797864010326,-0.0545071211683312,0.158118814024888,0.317704012243793,0.76043437548975,33,47,80,44,66,45
"Edf1",33753.3252947661,-0.0502818028778479,0.149297770329829,0.432039406726433,0.816411870186695,25790,22985,40674,56206,43051,20776
"Mamdc4",608.749045160157,0.106007483583649,0.169233314521661,0.182515175723117,0.655471305240222,429,639,715,582,464,890
"Phpt1",8696.91951174259,-0.120366871537471,0.176236300430343,0.147385937143848,0.613752290620693,6381,6670,11116,11382,12005,6086
"Ajm1",241.463784951243,0.0606231200998562,0.156217696941335,0.331009357315921,0.767196786003835,194,140,261,380,176,345
"Rabl6",22727.7513722278,-0.0516128248141327,0.141015329704807,0.49403369071969,0.836438225274434,17354,17463,29200,34328,25828,16680
"Ccdc183",0.750395251965409,-0.00348415226504724,0.156347493413085,0.602407953788056,NA,2,1,1,0,0,0
"Fcnaos",60.1713043373267,0.0496331229929376,0.160934438333727,0.258752583380079,0.721958614456949,41,60,73,38,31,124
"Tmem141",635.189105062202,-0.0365863424164425,0.143566830236247,0.571533133507786,0.868602646030493,442,361,858,998,744,575
"Fcna",13.8269931462813,0.00496350881687576,0.154283393962169,0.852337108678838,0.960122568211057,8,23,19,2,13,18
"Gm35630",0.263838683580884,-0.00379191282105339,0.156459810701628,0.677553349884161,NA,0,0,2,0,0,0
"Lcn15",0,NA,NA,NA,NA,0,0,0,0,0,0
"Lcn8",0.361490366392528,0.00387197509004775,0.156463184373317,0.632484198498403,NA,0,2,0,0,0,0
"Lcn5",0.140430804809904,0.0029037799143961,0.156421523080706,0.829882553921128,NA,0,0,0,1,0,0
"Lcn6",0.437730726978703,-0.00412998642575938,0.156480519528188,0.572330457166888,NA,2,0,0,0,0,0
"Lcn10",1.19119067654539,-0.00549875986108273,0.156556617596558,0.305376949704244,NA,0,0,0,0,7,0
"Obp2a",0.464807545340214,0.0041193705306782,0.156477881757672,0.562814847395371,NA,0,0,0,1,0,2
"Bmyc",4347.77175758769,0.0784479835673462,0.136665498617394,0.338331429170063,0.771282251324782,3299,3827,5047,6477,3780,4411
"Obp2b",5.09120571903734,0.0107699223104608,0.156079361857102,0.52842301790854,NA,2,2,10,5,0,14
"Lcn3",0,NA,NA,NA,NA,0,0,0,0,0,0
"Lcn11",0,NA,NA,NA,NA,0,0,0,0,0,0
"Glt6d1",0.361490366392528,0.00387197509004775,0.156463184373317,0.632484198498403,NA,0,2,0,0,0,0
"Gm13539",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm35689",0,NA,NA,NA,NA,0,0,0,0,0,0
"Lcn9",0.131919341790442,-0.00307471390746001,0.156428808187635,0.79752438517304,NA,0,0,1,0,0,0
"Sohlh1",0.180745183196264,0.00310074612523339,0.156428548376499,0.829882553921129,NA,0,1,0,0,0,0
"Kcnt1",23.9280836808449,-0.00917603264854304,0.153232772320955,0.775749184823047,0.937839728101584,24,6,42,32,12,34
"Camsap1",16839.0751614779,0.00884158485418759,0.114633829397575,0.906956238740911,0.978148811605587,13023,15767,22218,20407,15167,17025
"Ubac1",18172.5289500119,-0.0788242929017935,0.148026393884257,0.309552521682317,0.755862562285262,14284,14419,23910,25574,20961,13118
"Nacc2",1474.18197119365,0.153398703381013,0.164087675097668,0.108400264757752,0.563919072374407,990,1657,1776,1744,1223,1669
"LOC118568504",4.2287676702684,-0.00777812518078252,0.155437607415365,0.692966121379704,NA,5,2,4,3,5,6
"Tmem250-ps",11768.1122112256,-0.0935408515217537,0.134991285875569,0.268459852258923,0.72821615047136,9273,10733,15190,13552,13263,10079
"Gm35745",0,NA,NA,NA,NA,0,0,0,0,0,0
"Lhx3",87.6462147086211,0.0845270315782775,0.187773476242909,0.0220086721340241,0.274093225622716,35,24,86,302,20,114
"Qsox2",18258.5797120866,-0.0717703501428345,0.130913717379692,0.37813026136842,0.791036675233719,15125,16298,24564,22797,18222,15166
"Gm52504",0,NA,NA,NA,NA,0,0,0,0,0,0
"Ccdc187",22.4537649298128,0.0559749872452226,0.167094458565979,0.118146917518284,0.581439630875795,10,13,28,50,8,36
"Gm35807",1.91204611085982,0.00464470363820081,0.156108301793363,0.69118836559246,NA,2,0,2,4,0,4
"Gpsm1",6391.40543783599,0.0819468540839697,0.149312285066039,0.317336119675945,0.76043437548975,4602,5032,7299,10807,5656,6361
"Gm52505",8.3178194717482,-0.0119337731846444,0.155682487080598,0.568935795804165,0.867956263310609,7,0,18,16,7,6
"Dnlz",8904.46345875053,-0.0824289936672829,0.150203399593572,0.326087687228489,0.764920154412609,6823,7104,10836,12252,11131,6677
"Gm13562",33.7587687299501,-0.0566182052105432,0.161668771235096,0.257091088205454,0.720389649786866,31,30,44,30,43,26
"Card9",19.8507077394282,0.021086189553606,0.154452593540386,0.542179284019956,0.85830137453323,19,10,18,27,12,35
"Snapc4",8742.62794321932,-0.00993815192363859,0.125771678750274,0.950771376035506,0.988795696786558,7054,9747,10785,9871,8370,7422
"Entr1",12700.5747783262,-0.071981700386823,0.133565459379966,0.334400710548995,0.768780632110481,9914,10213,16748,16575,14016,10868
"Pmpca",42680.5055022184,-0.0514011669330321,0.130691821161399,0.507473936154171,0.841306376027769,32524,35617,55166,58033,46714,35441
"Inpp5e",4409.28594702886,-0.0380174652760775,0.116152237740749,0.646699268283278,0.895268461954419,3505,3918,5818,5200,4277,4368
"Sec16a",28241.3551741785,0.0735376289278798,0.125683192294033,0.37537169067348,0.789724237711182,20774,28682,35977,34303,23994,29991
"0610009E02Rik",126.353300286375,0.160207875802398,0.230478757295384,0.0644975795636507,0.464177818637448,76,153,157,161,79,156
"Notch1",2293.55917635671,1.63326042023255,0.331596413729391,3.62527056396167e-08,1.99909176531108e-05,831,4864,1314,2415,988,3403
"Mir6996",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm35978",0.980972830998365,-0.00195700063711951,0.156305880387134,0.775381434561185,NA,3,0,0,0,0,2
"Gm36171",0.725445476396956,0.00166838775508312,0.156274025429167,0.833062568375113,NA,0,1,2,2,0,0
"Egfl7",5750.46221098889,-0.00563717420447699,0.138911670388354,0.926028520835024,0.982640996257206,4103,3497,6800,10025,6512,4978
"Mir126a",0.140430804809904,0.0029037799143961,0.156421523080706,0.829882553921128,NA,0,0,0,1,0,0
"Mir126b",0.140430804809904,0.0029037799143961,0.156421523080706,0.829882553921128,NA,0,0,0,1,0,0
